Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
740	3	8	14	7	2	6	2	5	15	4	4	3	4	2	2	1	5	4	2	15	2	2	1	2	2	14	1	2	1	1
750	10	8	1	7	2	6	1	5	1	4	3	3	3	2	1	1	1	3	1	1	1	1	1	1	2	10	1	2	1	1
760	4	8	4	7	3	6	1	5	11	4	10	3	3	2	2	1	3	10	1	11	2	1	1	2	3	4	1	3	1	1
770	3	8	3	7	4	6	3	5	1	4	18	3	4	2	1	1	1	18	10	1	1	10	1	1	4	3	1	4	1	1
780	2	8	2	7	1	6	3	5	1	4	2	3	2	2	2	1	9	2	3	9	1	3	1	9	1	2	1	1	1	1
790	4	8	4	7	4	6	2	5	3	4	3	3	3	2	2	1	2	3	9	11	2	9	1	2	13	4	1	13	1	1
800	1	8	1	7	1	6	1	5	1	4	2	3	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1
810	2	8	1	7	3	6	3	5	5	4	24	3	1	2	2	1	5	24	2	5	1	11	1	9	3	9	1	3	1	1
820	2	8	2	7	9	6	3	5	5	4	3	3	3	2	1	1	5	3	3	5	1	3	1	1	1	2	1	9	1	1
830	1	8	15	7	3	6	9	5	10	4	2	3	9	2	2	1	1	9	1	10	2	9	1	2	3	15	1	3	1	1
840	3	8	10	7	1	6	3	5	2	4	3	3	2	2	2	1	2	11	2	2	2	11	1	2	1	10	1	1	1	1
850	4	8	4	7	3	6	3	5	5	4	2	3	2	2	1	1	5	2	3	5	1	3	1	1	4	4	1	14	1	1
860	3	8	3	7	3	6	3	5	5	4	3	3	6	2	1	1	5	21	3	5	1	3	1	1	3	3	1	3	1	1
870	3	8	3	7	3	6	3	5	11	4	5	3	2	2	1	1	2	16	10	11	1	10	1	1	3	3	1	3	1	1
880	1	8	2	7	3	6	9	5	1	4	2	3	16	2	2	1	1	16	1	1	2	9	1	2	3	9	1	3	1	1
890	2	8	3	7	2	6	1	5	2	4	2	3	2	2	2	1	4	2	1	13	2	1	1	2	2	11	1	2	1	1
900	5	8	5	7	3	6	3	5	1	4	5	3	5	2	2	1	1	5	3	1	2	3	1	2	3	5	1	3	1	1
910	2	8	2	7	2	6	1	5	1	4	29	3	6	2	2	1	1	29	1	1	2	1	1	2	2	2	1	2	1	1
920	1	8	1	7	3	6	2	5	2	4	6	3	6	2	1	1	2	6	2	2	1	2	1	1	2	1	1	11	1	1
930	1	8	1	7	3	6	2	5	3	4	5	3	5	2	2	1	17	5	2	17	2	2	1	2	3	1	1	3	1	1
940	18	8	4	7	1	6	3	5	1	4	1	3	1	2	1	1	1	1	10	1	1	10	1	1	1	18	1	1	1	1
950	2	8	2	7	2	6	2	5	1	4	3	3	3	2	1	1	1	3	2	1	1	2	1	1	2	2	1	2	1	1
960	2	8	2	7	1	6	1	5	1	4	1	3	1	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1
970	2	8	2	7	3	6	3	5	4	4	3	3	3	2	1	1	4	3	1	4	1	10	1	1	2	2	1	11	1	1
980	3	8	14	7	3	6	1	5	4	4	2	3	2	2	1	1	12	2	1	12	1	1	1	1	3	14	1	3	1	1
990	5	8	5	7	1	6	2	5	5	4	1	3	1	2	1	1	17	1	2	17	1	2	1	1	1	5	1	1	1	1
1000	5	8	1	7	1	6	2	5	3	4	17	3	5	2	1	1	3	17	3	3	1	11	1	1	1	15	1	1	1	1
1010	5	8	3	7	2	6	2	5	3	4	5	3	5	2	2	1	5	5	2	17	2	2	1	2	2	17	1	2	1	1
1020	5	8	5	7	1	6	3	5	17	4	6	3	6	2	1	1	5	6	3	17	1	3	1	1	1	5	1	1	1	1
1030	1	8	1	7	1	6	2	5	2	4	1	3	9	2	1	1	2	9	2	2	1	2	1	1	1	1	1	1	1	1
1040	1	8	1	7	1	6	3	5	2	4	24	3	1	2	1	1	2	24	3	2	1	3	1	1	1	1	1	1	1	1
1050	2	8	3	7	3	6	2	5	3	4	1	3	1	2	1	1	2	1	2	11	1	2	1	1	3	11	1	3	1	1
1060	5	8	5	7	3	6	3	5	2	4	1	3	1	2	2	1	2	1	3	2	2	3	1	2	3	5	1	3	1	1
1070	2	8	16	7	12	6	3	5	1	4	4	3	4	2	2	1	1	4	3	1	2	3	1	2	4	16	1	12	1	1
1080	5	8	5	7	3	6	2	5	2	4	2	3	2	2	2	1	5	2	2	16	2	2	1	2	14	5	1	14	1	1
